Year,Date,OPP,FanDuel,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,SF,E,AVG,OBP,SLG,OPS
2017,26-May,Sea,6,4,3,0,1,0,0,0,0,1,2,0,0,0,0,0,0.335,0.4,0.467,0.867
2017,27-May,Sea,9.7,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0.333,0.397,0.462,0.859
2017,28-May,Sea,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0.331,0.394,0.457,0.851
2017,29-May,@CWS,3.5,4,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0.326,0.386,0.449,0.835
2017,30-May,@CWS,27.7,5,5,1,4,0,0,1,1,0,0,0,0,0,0,1,0.339,0.396,0.475,0.871
2017,31-May,@CWS,6.2,4,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0.337,0.393,0.471,0.864
2017,1-Jun,@Bal,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0.33,0.386,0.461,0.847
2017,2-Jun,@Bal,9.2,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0.328,0.383,0.462,0.845
2017,3-Jun,@Bal,18.9,4,3,2,1,1,0,0,1,1,0,0,0,0,0,0,0.328,0.385,0.465,0.85
2017,4-Jun,@Bal,6,5,5,0,2,0,0,0,0,0,1,0,0,0,0,0,0.33,0.386,0.463,0.849
2017,6-Jun,@NYY,9.7,4,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0.325,0.383,0.456,0.839
2017,7-Jun,@NYY,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0.324,0.381,0.452,0.833
2017,8-Jun,@NYY,6.2,4,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0.322,0.379,0.449,0.828
2017,9-Jun,Det,9.2,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0.326,0.381,0.45,0.831
2017,10-Jun,Det,24.9,5,5,2,3,2,0,0,1,0,1,0,0,0,0,0,0.332,0.385,0.462,0.847
2017,11-Jun,Det,0,5,5,0,0,0,0,0,0,0,3,0,0,0,0,1,0.325,0.378,0.452,0.83
2017,12-Jun,Phi,0,5,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0.318,0.37,0.442,0.812
2017,13-Jun,Phi,21.2,6,5,1,3,2,0,0,0,1,0,0,1,0,0,0,0.324,0.377,0.454,0.831
2017,14-Jun,@Phi,19.5,5,5,0,2,1,0,0,3,0,0,0,0,0,0,0,0.325,0.377,0.457,0.834
2017,15-Jun,@Phi,0,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0.32,0.372,0.449,0.821
2017,16-Jun,@Hou,0,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0.315,0.366,0.442,0.808
2017,17-Jun,@Hou,3,4,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0.311,0.365,0.437,0.802
2017,18-Jun,@Hou,47.4,4,4,2,3,0,0,2,4,0,0,0,0,0,0,0,0.318,0.37,0.465,0.835
